name,language,watches,stars,forks,issues,pull_requests,commits,contributors,folders
freeCodeCamp,"['JavaScript', 'CSS', 'HTML']",8400,309000,23700,163.0,89,25355,3999,9
996.ICU,"['Rust', 'Go', 'Python', 'Makefile']",4500,249000,21200,,25,3019,605,8
vue,"['JavaScript', 'Other']",6000,157000,23600,291.0,152,3085,289,11
react,"['JavaScript', 'HTML', 'CSS', 'C++', 'TypeScript', 'CoffeeScript', 'Other']",6600,144000,27600,483.0,98,12812,1361,6
tensorflow,"['C++', 'Python', 'HTML', 'Starlark', 'Go', 'MLIR', 'Other']",8500,141000,79900,3102.0,245,78840,2396,4
bootstrap,"['JavaScript', 'CSS', 'HTML', 'Other']",7200,139000,68100,331.0,78,19337,1108,8
free-programming-books,[],8600,137000,33900,19.0,16,5200,1096,1
awesome,[],6600,126000,16800,12.0,14,892,439,2
You-Dont-Know-JS,[],5400,117000,23400,76.0,38,1654,169,7
ohmyzsh,"['Shell', 'Other']",2600,103000,18700,214.0,562,5481,1498,9
coding-interview-university,[],5300,97800,28800,26.0,22,1318,139,2
developer-roadmap,[],5300,95700,15500,5.0,0,253,22,3
gitignore,[],3000,95200,49800,,116,3207,1110,3
javascript,['JavaScript'],3500,92600,18000,79.0,35,1796,429,4
vscode,"['TypeScript', 'JavaScript', 'CSS', 'Inno Setup', 'HTML', 'Shell']",2900,91500,13900,4475.0,145,61145,1091,9
CS-Notes,['Java'],4500,90800,29300,18.0,5,3591,207,4
d3,['JavaScript'],4000,89900,21800,3.0,1,4209,121,2
flutter,"['Dart', 'Java', 'Objective-C', 'Shell', 'Ruby', 'Batchfile']",2700,86700,11300,5000.0,119,17643,534,5
linux,"['C', 'C++', 'Assembly', 'Objective-C', 'Makefile', 'Shell', 'Other']",6900,86500,30200,,322,900539,15600,22
react-native,"['JavaScript', 'Java', 'C++', 'Objective-C', 'Objective-C++', 'Starlark', 'Other']",3700,84900,19000,721.0,84,19379,2062,22
system-design-primer,"['Python', 'Shell']",4400,82700,13900,78.0,59,280,75,2
electron,"['C++', 'TypeScript', 'JavaScript', 'Objective-C++', 'HTML', 'Python', 'Other']",2800,80700,10800,1261.0,64,23166,928,17
awesome-python,"['Python', 'Makefile']",5200,79300,15600,1.0,43,1430,325,2
Python-100-Days,"['Jupyter Notebook', 'HTML', 'Python', 'JavaScript', 'CSS', 'TSQL', 'Java']",4800,78100,31000,224.0,85,296,12,14
create-react-app,"['JavaScript', 'Shell', 'Other']",1800,76000,18100,430.0,108,2493,787,5
public-apis,"['Python', 'Shell']",2100,70600,8000,5.0,82,2132,545,2
axios,"['JavaScript', 'TypeScript', 'HTML']",1200,69600,6200,284.0,147,905,199,6
go,"['Go', 'HTML', 'Assembly', 'C', 'Shell', 'Perl']",3400,69000,9800,5000.0,176,42513,1464,7
JavaGuide,['Java'],3600,68800,23500,21.0,1,2063,124,3
